downsample	seed	iteration	class	precision	recall	f1_score	selection strategy
# ---- 1% Training Data: Base Model (seed 42) ----
1.00	7	3	Kill	0.9333	0.8936	0.913	entropy
1.00	7	3	Live_In	0.8222	0.74	0.7789	entropy
1.00	7	3	Located_In	0.8551	0.6277	0.7239	entropy
1.00	7	3	OrgBased_In	0.7426	0.7143	0.7282	entropy
1.00	7	3	Work_For	0.8554	0.9342	0.8931	entropy
1.00	7	3	macro avg	0.8417	0.782	0.8074	entropy
1.00	7	3	micro avg	0.8273	0.7607	0.7926	entropy
# Seed: 13
1.00	13	1	Kill	0.9333	0.8936	0.913	entropy
1.00	13	1	Live_In	0.7257	0.82	0.77	entropy
1.00	13	1	Located_In	0.95	0.6064	0.7403	entropy
1.00	13	1	OrgBased_In	0.7742	0.6857	0.7273	entropy
1.00	13	1	Work_For	0.8816	0.8816	0.8816	entropy
1.00	13	1	macro avg	0.853	0.7775	0.8064	entropy
1.00	13	1	micro avg	0.8269	0.7583	0.7911	entropy
